ime,kraj,doplacilo,vegetarijansko,dostava,dostop_za_invalide,odprto_ob_vikendih,nov_lokal
MEHIŠKA RESTAVRACIJA IMPERIO MEXICANO,LJUBLJANA,3.67,service-1,,,,
MENZA,LJUBLJANA,2.37,service-1,,,,
MENZA FS,LJUBLJANA,2.57,service-1,,service-3,,
META IN BAZILIKA,LJUBLJANA,3.97,service-1,,,,
MLEČNA RESTAVRACIJA,KRANJ,2.27,service-1,,,,
MLEČNA RESTAVRACIJA - DOSTAVA,KRANJ,3.27,service-1,service-5,,,
MORNARČEK RIBJA KANTINA - RESTAVRACIJA,KOPER/CAPODISTRIA,3.87,,,,service-20,
NAMASTE INDIAN EXPRESS,LJUBLJANA,3.3,service-1,,,,
NEWS CAFE,PORTOROŽ/PORTOROSE,3.5,service-1,,service-3,service-20,
NOOMM,MARIBOR,2.9,,,,,
OKREPČEVALNICA - BISTRO TANJA,MURSKA SOBOTA,2.37,service-1,,,service-20,
OKREPČEVALNICA - DINER KINO GLEDALIŠČE BEŽIGRAD,LJUBLJANA,3.1,service-1,,service-3,service-20,
OKREPČEVALNICA - PIZZERIJA MAKS,LJUBLJANA,2.97,service-1,,service-3,service-20,
"OKREPČEVALNICA ""BUREK 1""",LJUBLJANA,1.2,,,service-3,service-20,
"OKREPČEVALNICA ""BUREK""",LJUBLJANA,1.2,,,service-3,service-20,
"OKREPČEVALNICA ""RIVIERA""",LJUBLJANA,2.6,service-1,,,service-20,
OKREPČEVALNICA AJDA,LJUBLJANA,2.7,,,,,
OKREPČEVALNICA AZZURRO,LJUBLJANA,3.0,,,,service-20,
OKREPČEVALNICA BADOVINAC,LJUBLJANA,1.2,service-1,,service-3,,
OKREPČEVALNICA BOBER (PARIŠKE KOMUNE),MARIBOR,2.0,service-1,,service-3,,
OKREPČEVALNICA BOBER (PARTIZANSKA),MARIBOR,2.0,service-1,,,,
OKREPČEVALNICA ĆEVABDŽINICA MALI GAZDA,PORTOROŽ/PORTOROSE,3.6,service-1,,service-3,service-20,
OKREPČEVALNICA FRESH (PRODAJNO MESTO PETROL),TREBNJE,3.77,service-1,,service-3,,
OKREPČEVALNICA FRESH (PRODAJNO MESTO PETROL),TRZIN,3.77,service-1,,service-3,,
OKREPČEVALNICA FRESH (PRODAJNO MESTO PETROL),SEŽANA,3.77,service-1,,service-3,,
OKREPČEVALNICA HAMBURGER HILL ZAGREBŠKA,MARIBOR,1.37,,,service-3,,
OKREPČEVALNICA IZUM,MARIBOR,2.87,service-1,,,,
