ime,naslov,kraj,ocena,doplacilo,vegetarijansko,dostop_za_invalide,dostava,odprto_ob_vikendih,nov_lokal
FUŽINSKI MERAK,"Nove fužine 45, 1000 Ljubljana",LJUBLJANA,0,2.6,DA,DA,NE,NE,NE
FUŽINSKI MERAK - DOSTAVA,"Nove fužine 45, 1000 Ljubljana",LJUBLJANA,0,3.4,DA,NE,DA,NE,NE
"GARAČ - RESTAVRACIJA ""M""","Šolska cesta 2, 4220 Škofja Loka",ŠKOFJA LOKA,2,2.7,DA,DA,NE,NE,NE
GOSPOSVETSKA,"Gosposvetska cesta 83, 2000 Maribor",MARIBOR,5,0.0,NE,DA,NE,NE,NE
GOSTILNA ČARDA,"Savska cesta 10, 1000 Ljubljana",LJUBLJANA,5,3.87,DA,DA,NE,NE,NE
GOSTILNA ČAS,"Savinjska cesta 72, 3310 Žalec",ŽALEC,0,3.27,DA,NE,NE,DA,NE
GOSTILNA IN GALERIJA MAJOLKA,"Maistrova 11, 1241 Kamnik",KAMNIK,1,3.8,DA,DA,NE,NE,NE
GOSTILNA IN MINI RESTAVRACIJA RAJH,"Cvetkova ulica 21, 9000 Murska Sobota",MURSKA SOBOTA,4,3.5,NE,DA,NE,DA,NE
GOSTILNA IN PICERIJA PAVON,"Njegoševa 6 K, 1000 Ljubljana",LJUBLJANA,0,4.37,DA,NE,NE,NE,NE
GOSTILNA IN PIZZERIA KORTINA,"Cesta borcev 1, 6000 Koper/Capodistria",KOPER/CAPODISTRIA,2,3.87,DA,DA,NE,DA,NE
GOSTILNA IN PIZZERIA MAESTRO,"Mariborska 100, 3000 Celje",CELJE,5,3.37,NE,NE,NE,NE,NE
GOSTILNA IN PIZZERIJA BREZA,"Letališka cesta 27, 1000 Ljubljana",LJUBLJANA,0,4.17,DA,DA,NE,DA,NE
GOSTILNA JAKA,"Dolenjska cesta 103, 1000 Ljubljana",LJUBLJANA,2,3.37,DA,NE,NE,DA,NE
